site,Date,Sample,Idotea.resecata,Phyllaplysia.taylori,Caprella.spp.,Aoroides.columbiae,Photis.brevipes,Eogammarus.confervicolus,Pontogeneia.rostrata,Amph.E..dorsal.teeth.,Monocorophium.achersicum,Lottia.pelta,Leptochelia.dubia,Platynereis.bicanaliculata,Balanus.spp.,Pycnogonum.sp.,Pugettia.richii,Mytilus.trossulus,Nematode,Nebalia.sp.,Pagurus.quaylei,Lacuna.spp.,Janua.pagastecheri,Cirolana.harfordi,Halacarid.mite,Nemertea,Amphithoe.spp.,Pandalidae,Haminoea.sp.,Copepod,Margarites.helicinus,Alia.carinata,alpha.p,N
BE,2012-06-15,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,5
BE,2012-06-15,2,0,0,87,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90
BE,2012-06-15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,5
BE,2012-06-15,4,14,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,20
BE,2012-06-15,5,0,0,75,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81
BE,2012-06-15,6,7,0,0,0,0,2,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
BE,2012-06-15,7,0,0,68,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71
BE,2012-06-15,8,0,2,49,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,56
BE,2012-06-15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,8
BE,2012-06-15,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
BE,2012-06-15,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5
BE,2012-06-15,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,5
BE,2012-06-15,13,0,0,126,0,3,0,0,68,0,0,0,8,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,6,212
BE,2012-06-15,14,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35
BE,2012-06-15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
